,Ticker,Shares
1,BA,121.83645909799901
2,KMI,1131.7299138276774
3,BK,451.5029221182304
4,MS,225.85526844881824
5,BAC,538.8521161238305
6,ORCL,242.78702672872362
7,SO,301.39740279672753
8,SBUX,200.97198200955424
9,PM,203.41613567254674
10,GM,497.56063502452156
11,SLB,388.1205186859891
12,QCOM,159.46589748968086
13,TXN,111.26255417793347
14,SPG,166.48918942200928
15,USB,451.45708335448944
16,BLK,27.044996668250935
17,UPS,108.67739578044127
18,UNP,93.49978846459572
19,UNH,37.430981370565355
20,TGT,121.33630219571738
21,MO,438.518469545748
22,CSCO,405.59286322202536
23,T,1029.7208721633244
24,AXP,125.28367433608035
25,PYPL,237.3236031325726
